id,name,company,manufacturer_id,sort
1257901,Samsung Tablet Tab3,del7,143557,9
1257859,SM-211,del7,143557,10
1257938,SM-T520,del7,143557,11
1257939,SM-T535,del7,143557,12
1257920,T819,del7,143557,13
1257879,Tab 2,del7,143557,14
1257882,Tab A,del7,143557,15
1258127,Dell All in One Computer,Dell,143659,1
1258102,Dell Chromebook,Dell,143659,2
1258105,Dell CPU,Dell,143659,3
1258217,Dell Laptop,Dell,143659,0
1258095,Everis,Everis Laptop,143665,1
1258182,FUJITSU Laptop,FUJITSU,143666,0
1258059,Google Nexus 7,Google,143650,1
1258193,Google Pixel 1,Google,143650,0
1257970,Google Pixel 2,Google,143650,2
1258148,Google Pixel 3,Google,143650,0
1258154,Google Pixel 4 XL,Google,143650,0
1258259,Google pixel 4A 4g,Google,143650,0
1258260,Google pixel 4A 5G,Google,143650,0
1258240,Google pixel 5A,Google,143650,0
1258378,Google Pixel 6,Google,143650,0
1258439,Google Pixel 7,Google,143650,0
1258408,Google Pixel 8,Google,143650,0
1258256,Envy 360 Converible laptop,HP,143639,0
1258072,HP All in One Computer,HP,143639,1
1257875,HP Chromebook,HP,143639,2
1258074,HP Computer,HP,143639,3
1258139,HP CPU,HP,143639,4
1257869,HP laptop,HP,143639,5
1258070,HP Probook 450 G6,HP,143639,42
1258438,HP Touchscreen Laptop,HP,143639,0
1258440,HP Zbook,HP,143639,0
1258257,Laptop Screen,Hp Envy 360 Convertible ,143669,0
1257909,Huawei Honor 9 Lite,Huawei,143637,1
1257937,Huawei Nexus 6 Plus,Huawei,143637,2
1257922,huawei Nova 2i,Huawei,143637,3
1257958,Huawei Nova 3i,Huawei,143637,4
1257945,Huawei Nova 5T,Huawei,143637,5
1257950,Huawei P10 Lite,Huawei,143637,6
1257971,Huawei P8 Lite,Huawei,143637,7
1258050,Huawei P9 Lite,Huawei,143637,8
1257855,Huawei Phone Honor8,Huawei,143637,9
1251814,Huawei Phone Mate 10,Huawei,143637,10
1251812,Huawei Phone Mate 10 Pro,Huawei,143637,11
1258135,Huawei Phone Mate 20,Huawei,143637,12
1257867,Huawei Phone Mate 20 Pro,Huawei,143637,13
1258080,Huawei Phone Mate 30 Pro,Huawei,143637,14
1258427,Huawei Phone Mate 60 Pro,Huawei,143637,0
1251817,Huawei Phone Mate 7,Huawei,143637,15
1251816,Huawei Phone Mate 8,Huawei,143637,16
1251815,Huawei Phone Mate 9,Huawei,143637,17
1251813,Huawei Phone Mate 9 Pro,Huawei,143637,18
1251811,Huawei Phone Nova,Huawei,143637,19
1251810,Huawei Phone Nova 2,Huawei,143637,20
1251809,Huawei Phone Nova 3,Huawei,143637,21
1251822,Huawei Phone P10,Huawei,143637,22
1257951,Huawei Phone P10 Lite,Huawei,143637,23
1251820,Huawei Phone P10 Plus,Huawei,143637,24
1251819,Huawei Phone P20,Huawei,143637,25
1257965,Huawei Phone P20 Lite / Nova 3E,Huawei,143637,26
1251818,Huawei Phone P20 Pro,Huawei,143637,27
1257981,Huawei Phone P30,Huawei,143637,28
1258136,Huawei Phone P30 Lite,Huawei,143637,29
1257940,Huawei Phone P30 Pro,Huawei,143637,30
1258076,Huawei Phone P40,Huawei,143637,31
1258077,Huawei Phone P40 Pro,Huawei,143637,32
1251824,Huawei Phone P8,Huawei,143637,33
1251823,Huawei Phone P9,Huawei,143637,34
1251821,Huawei Phone P9 Plus,Huawei,143637,35
1257899,Huawei Phone SNE-AL00,Huawei,143637,36
1258082,Huawei Phone Y5 2019,Huawei,143637,37
1258079,Huawei Phone Y5P,Huawei,143637,38
1258078,Huawei Phone Y6P,Huawei,143637,39
1258081,Huawei Phone Y6s,Huawei,143637,40
1257907,Huawei Y6 2018,Huawei,143637,41
1258066,Huawei Y8 / Y7 Prime / Y7 Pro 2019,Huawei,143637,42
1257935,Huawei Y9 Prime 2019,Huawei,143637,43
1257921,ni,Huawei,143637,44
1257860,Acer Chromebook,Inphic,114515,1
1257881,Acer Laptop,Inphic,114515,2
1257877,Anyware Laptop,Inphic,114515,3
1257876,Apple MacBook Air A1465,Inphic,114515,4
1257854,ASUS R409C,Inphic,114515,5
1257913,Dell CPU,Inphic,114515,6
1257850,Desktop,Inphic,114515,7
1257872,Gigabyte laptop,Inphic,114515,8
1257912,IMAC,Inphic,114515,9
1257969,laptop,Inphic,114515,10
1257906,Lenovo Chromebook,Inphic,114515,11
1257857,mac  book pro,Inphic,114515,12
1257853,Mac BOOK A1278,Inphic,114515,13
1257871,MacBook Air,Inphic,114515,14
1257894,Macbook Pro,Inphic,114515,15
1257908,Macbook Pro A1989,Inphic,114515,16
1257911,Macbook Pro A1990,Inphic,114515,17
1257880,Surface Pro 3,Inphic,114515,18
1258254,iphone 11 Flash light Flex,iPhone,143658,0
1258255,iphone 13 pro Wireless charging Pad,iPhone,143658,0
1258319,iPhone 14 black back glass with parts,iPhone,143658,0
1257988,Acer Chromebook,Laptop,143652,1
1257986,ASUS R409C,Laptop,143652,2
1257873,Toshiba Laptop,Laptop,143652,3
1258101,Lenovo,Lenovo,143654,1
1258028,Lenovo Chromebook,Lenovo,143654,2
1258437,Lenovo Chromebook 11.6,Lenovo,143654,0
1258250,Lenovo IdeaPad,Lenovo,143654,0
1258117,Lenovo ideapad gaming,Lenovo,143654,19
1257878,Lenovo Laptop,Lenovo,143654,3
1258430,"Lenovo M10 FHD REL (TB-X605FC, TB-X605LC)",Lenovo,143654,0
1258388,Lenovo P11 (1st Gen),Lenovo,143654,0
1257984,Lenovo Thinkpad,Lenovo,143654,4
1257895,Lenovo ThinkPad  T450s 500GB 12GB i7-5600U,Lenovo,143654,5
1258290,GR3MK,LG ,143651,0
1257978,LG Phone G6,LG ,143651,1
1258281,V50,LG ,143651,0
1258406,MI Laptop,MI,143679,0
1258058,Chuwi Tablet Labor,Microdrive,143661,1
1258370,Go 2 1926,Microsoft Surface,143664,0
1258340,laptop 3,Microsoft Surface,143664,0
1258418,Microsoft 1868,Microsoft Surface,143664,0
1258146,Microsoft Surface 3 1867,Microsoft Surface,143664,0
1258357,Microsoft Surface 3 1950,Microsoft Surface,143664,0
1258389,Microsoft Surface Book (1st Gen),Microsoft Surface,143664,0
1258373,Microsoft surface Go 1,Microsoft Surface,143664,0
1258371,"Microsoft Surface Go 2 (1926, 1927)",Microsoft Surface,143664,0
1257866,microsoft Surface Go 3,Microsoft Surface,143664,4
1258374,Microsoft Surface Go 4 2067,Microsoft Surface,143664,0
1258360,Microsoft Surface Laptop 4 1951 Laptop 13.5,Microsoft Surface,143664,0
1258404,"Microsoft Surface Laptop 4 1979 Laptop 15""",Microsoft Surface,143664,0
1258429,Microsoft Surface Laptop Go 2 (2013),Microsoft Surface,143664,0
1258419,Microsoft Surface Laptop Studio,Microsoft Surface,143664,0
1258094,Microsoft Surface Pro 3,Microsoft Surface,143664,1
1258393,Microsoft Surface Pro 5th Gen,Microsoft Surface,143664,0
1258383,Microsoft Surface Pro 7,Microsoft Surface,143664,0
1258441,Microsoft Surface Pro 7+,Microsoft Surface,143664,0
